Country,State,Year,Population,All GHG,CH4,CO2,N2O,F-Gas
US,MA,2010,6566440,143.652123519,4.98054977,70.300037322,12.16560095,0
US,MA,2011,6614218,136.86803189,5.123640464,68.463901126,12.621824002,0
US,MA,2012,6664269,123.926897122,4.964332509,68.111909774,13.335529811,0
US,MA,2013,6715158,131.483322392,5.085167006,69.374720909,12.840627285,0
US,MA,2014,6764864,127.876601647,5.157416722,32.026950636,13.074223475,0
US,MA,2015,6797484,131.616739708,5.150637494,31.025312636,13.284063307,0
US,MA,2016,6827280,128.569433746,5.230931914,30.409404001,13.844606464,0
US,MA,2017,6863560,128.599253503,3.830594906,29.179828465,13.836077437,0
US,MA,2018,6885720,126.864178237,3.913548493,30.170197673,13.364809105,0
US,MI,1997,9809051,403.967159073,8.514544147,117.723957654,26.794764082,0
US,MI,1998,9847942,397.669159528,7.802365483,115.125534377,24.112383859,0
US,MI,1999,9897116,414.235092382,8.274788066,118.396376947,23.787183594,0
US,MI,2000,9952450,407.779229683,9.287642173,112.287314345,25.152522273,0
US,MI,2001,9991120,397.462472829,9.514486918,109.186352544,27.160477877,0
US,MI,2002,10015710,398.094181516,9.108075177,105.359898669,30.129424459,0
US,MI,2003,10041152,392.138217399,8.923692843,99.215460443,31.463063536,0
US,MI,2004,10055315,396.016841978,8.73397076,98.825315641,35.588809094,0
US,MI,2005,10051137,398.291292593,8.665381406,105.709315103,38.54868304,0
US,MI,2006,10036081,376.588044683,8.522555938,89.344334428,38.372445857,0
US,MI,2007,10001284,380.102957037,8.60930805,87.277550291,27.201166524,0
US,MI,2008,9946889,365.707214354,15.200358821,83.327607572,28.990658136,0
US,MI,2009,9901591,340.160867681,14.993680561,87.8228096,31.424586555,0
US,MI,2010,9877597,342.440098889,10.790657132,85.021896178,22.815198769,0
US,MI,2011,9883053,333.339073472,8.988647213,95.267692415,21.997241004,0
US,MI,2012,9898289,318.717312308,8.909920625,95.982352614,22.711162222,0
US,MI,2013,9914802,335.333876978,8.977756044,99.47459101,22.004909087,0
US,MI,2014,9932033,333.957345947,9.148448998,97.46410111,20.780122923,0
US,MI,2015,9934483,335.095999013,9.294898678,99.528628936,20.106164135,0
US,MI,2016,9954117,316.574709927,8.806118349,97.056253361,19.698915664,0
US,MI,2017,9976752,318.817998894,8.508034254,98.31026284,20.616169785,0
US,MI,2018,9987286,335.282870606,8.349102508,98.491750237,21.872582613,0
US,MN,1997,4763390,210.365788206,31.531255362,57.905112051,37.43437136,0
US,MN,1998,4813412,210.636117476,31.553458784,62.777010896,37.760417924,0
